DEBUG | 2024-11-05 21:03:20,039 | writer is waiting
DEBUG | 2024-11-05 21:03:20,039 | 1
DEBUG | 2024-11-05 21:03:20,039 | 2
DEBUG | 2024-11-05 21:03:20,040 | 3
DEBUG | 2024-11-05 21:03:20,040 | 4
DEBUG | 2024-11-05 21:03:20,040 | 5
DEBUG | 2024-11-05 21:03:20,040 | 6
DEBUG | 2024-11-05 21:03:20,040 | 7
DEBUG | 2024-11-05 21:03:20,040 | 8
DEBUG | 2024-11-05 21:03:20,040 | 9
DEBUG | 2024-11-05 21:03:20,040 | 10
DEBUG | 2024-11-05 21:03:20,042 | Write completed.
DEBUG | 2024-11-05 21:03:20,044 | writer is waiting
DEBUG | 2024-11-05 21:03:20,044 | Read value: daniel
DEBUG | 2024-11-05 21:03:20,044 | Read value: daniel
DEBUG | 2024-11-05 21:03:20,044 | Read value: daniel
DEBUG | 2024-11-05 21:03:20,044 | Read value: daniel
DEBUG | 2024-11-05 21:03:20,045 | 1
DEBUG | 2024-11-05 21:03:20,045 | 2
DEBUG | 2024-11-05 21:03:20,045 | Read value: daniel
DEBUG | 2024-11-05 21:03:20,045 | 3
DEBUG | 2024-11-05 21:03:20,045 | 4
DEBUG | 2024-11-05 21:03:20,045 | 5
DEBUG | 2024-11-05 21:03:20,045 | 6
DEBUG | 2024-11-05 21:03:20,045 | 7
DEBUG | 2024-11-05 21:03:20,045 | 8
DEBUG | 2024-11-05 21:03:20,045 | 9
DEBUG | 2024-11-05 21:03:20,045 | 10
DEBUG | 2024-11-05 21:03:20,046 | Write completed.
DEBUG | 2024-11-05 21:03:20,047 | Read value: dani
DEBUG | 2024-11-05 21:03:20,047 | Read value: dani
DEBUG | 2024-11-05 21:04:20,699 | writer is waiting
DEBUG | 2024-11-05 21:04:20,699 | 1
DEBUG | 2024-11-05 21:04:20,699 | 2
DEBUG | 2024-11-05 21:04:20,699 | 3
DEBUG | 2024-11-05 21:04:20,699 | 4
DEBUG | 2024-11-05 21:04:20,699 | 5
DEBUG | 2024-11-05 21:04:20,700 | 6
DEBUG | 2024-11-05 21:04:20,700 | 7
DEBUG | 2024-11-05 21:04:20,700 | 8
DEBUG | 2024-11-05 21:04:20,700 | 9
DEBUG | 2024-11-05 21:04:20,700 | 10
DEBUG | 2024-11-05 21:04:20,701 | Write completed.
DEBUG | 2024-11-05 21:04:20,703 | Read value: daniel
DEBUG | 2024-11-05 21:04:20,703 | writer is waiting
DEBUG | 2024-11-05 21:04:20,704 | Read value: daniel
DEBUG | 2024-11-05 21:04:20,704 | Read value: daniel
DEBUG | 2024-11-05 21:04:20,704 | Read value: daniel
DEBUG | 2024-11-05 21:04:20,704 | 1
DEBUG | 2024-11-05 21:04:20,704 | 2
DEBUG | 2024-11-05 21:04:20,704 | 3
DEBUG | 2024-11-05 21:04:20,704 | 4
DEBUG | 2024-11-05 21:04:20,704 | 5
DEBUG | 2024-11-05 21:04:20,704 | 6
DEBUG | 2024-11-05 21:04:20,704 | 7
DEBUG | 2024-11-05 21:04:20,705 | 8
DEBUG | 2024-11-05 21:04:20,705 | 9
DEBUG | 2024-11-05 21:04:20,705 | Read value: daniel
DEBUG | 2024-11-05 21:04:20,705 | 10
DEBUG | 2024-11-05 21:04:20,705 | Write completed.
DEBUG | 2024-11-05 21:04:20,706 | Read value: dani
DEBUG | 2024-11-05 21:04:20,706 | Read value: dani
DEBUG | 2024-11-05 21:05:16,750 | writer is waiting
DEBUG | 2024-11-05 21:05:20,962 | 1
DEBUG | 2024-11-05 21:05:24,122 | 2
DEBUG | 2024-11-05 21:05:25,365 | 3
DEBUG | 2024-11-05 21:05:26,240 | 4
DEBUG | 2024-11-05 21:05:27,668 | 5
DEBUG | 2024-11-05 21:05:28,593 | 6
DEBUG | 2024-11-05 21:05:29,486 | 7
DEBUG | 2024-11-05 21:05:30,708 | 8
DEBUG | 2024-11-05 21:05:32,011 | 9
DEBUG | 2024-11-05 21:05:32,962 | 10
DEBUG | 2024-11-05 21:05:57,598 | Write completed.
DEBUG | 2024-11-05 21:06:52,948 | writer is waiting
DEBUG | 2024-11-05 21:06:52,948 | 1
DEBUG | 2024-11-05 21:06:52,948 | 2
DEBUG | 2024-11-05 21:06:52,948 | 3
DEBUG | 2024-11-05 21:06:52,948 | 4
DEBUG | 2024-11-05 21:06:52,948 | 5
DEBUG | 2024-11-05 21:06:52,948 | 6
DEBUG | 2024-11-05 21:06:52,948 | 7
DEBUG | 2024-11-05 21:06:52,948 | 8
DEBUG | 2024-11-05 21:06:52,948 | 9
DEBUG | 2024-11-05 21:06:52,948 | 10
DEBUG | 2024-11-05 21:06:52,950 | Write completed.
DEBUG | 2024-11-05 21:06:52,951 | writer is waiting
DEBUG | 2024-11-05 21:06:52,952 | Read value: daniel
